question_number,question,option_a,option_b,option_c,option_d,correct_answer,explanation
1,在大部分的一般保單當中被視為除外責任的基本風險包括戰爭及:,地震風險,飓風風險,核風險,水災風險,C,在大部分的壹般保單當中被視為除外責任的基本風險包括戰爭及核風險。
2,"戰爭風險及核風險是標準除外責任,以下哪項描述是正確的?",基本風險一般是不可保的,基本風險在給付額外保險費後是可保的,基本風險在「全險」的保障中是受到保障的,以上所有各項,A,"戰爭風險及核風險是標準除外責任,一般都不可保。"
3,“全險”保單不大可能保障以下哪項成因所導致的損失或損害?,遭一名持械盜賊偷竊,手錶因跌入海中所造成手錶內部的損害,因濕度持續高企造成手錶內部的損害,以上各項皆是,C,"只要不在除外責任之列,任何可能的風險所引致的損失或損害都受到全險保單承保。索償人只須證明 發生了意外的損失,而不必指出它的具體原因。因濕度持續高企造成手錶內部的損害不是意外損失。"
4,"財產保險保障範圍分兩類,分別是「指明危險」和:",全險,單一危險方式,特定危險,特定壽險,A,"財產保險保障範圍分兩類,分別是「全險」和「指明危險」。"
5,只對火災、閃電及家用氣體爆炸造成的損害提供保障的保險比較可能是:,全險,第三者保險,除外危險,指明危險,D,"指明危險(或指名危險)的意思是指,若要構成保單責任,發生了的損失或損害必須由保單所指明的某種危險(即損失的原因或成因)作為近因而引起的,比如火險保單中指明的閃電。"
6,"財產保險保障範圍分兩類,分別是「全險」和: 章節 1",特定壽險,特定危險,指明危險,指明壽險,C,"財產保險保障範圍分兩類,分別是「全險」和「指明危險」。"
7,"一般保險中,健康保險通常會歸類於:",責任保險,人身保險,財產保險,經濟權益保險,B,"「人身保險」的標的是人的生命、肢體或健康,或醫療費用。"
8,一般保險的保障範圍包括:,財產保險,責任保險,人身保險,以上各項皆是,D,"壹般保險的保障範圍包括:人身保險,財產保險,經濟權益保險及責任保險。"
9,"在「折扣回減機制」,不會因一次索償而導致所有折扣取消,適用於:",私家車保險,商用車輛保險,電單車保險,汽車租賃買賣的保險,A,"對私家車而言,無索償折扣以所謂「折扣回減機制」運作——壹次索償不壹定會撤銷來年的折扣。"
10,「使若干條款無效及有權追回款項條款」適用於:,只在特別條款(例如額外保費)生效時,在強制性條款凌駕於保單條款時,意外中只有被保人的汽車遭損毀,只由第三者引起的損毀,B,"在某些情形下,即使被保險人違反了保單條款,強制保險的相關規定仍不容許保險人拒絕向第三者賠償死亡或受傷的損失。"
11,"汽車保險無索償折扣機制下,當無索償折扣已積累到一個高的水平時,發生一次索償不會清除下年度的無索償折扣。這種制度稱為:",平均機制,折扣回減機制,不能作廢保單條款,無索償折扣回扣計劃,B,"對私家車而言,無索償折扣以所謂「折扣回減機制」運作——壹次索償不壹定會撤銷來年的折扣。"
